Institution Name,Product Name,Report Date,Availability of Credit Card Plan,State,State (Multiple),Pertains to Specific Counties?,Requirements for Opening,Requirements for Opening Types,Geographic Restrictions,Professional Affiliation,Requirements: Other,Secured Card,Targeted Credit Tiers,Purchase APR Offered?,Purchase APR Vary by Balance,Balance Range (From),Balance Range (To),APR - 2nd Tier,Balance Range (From) - 2nd Tier,Balance Range (To) - 2nd Tier,APR - 3rd Tier,Balance Range (From) - 3rd Tier,Balance Range (To) - 3rd Tier,APR - 4th Tier,Balance Range (From) - 4th Tier,Balance Range (To) - 4th Tier,Purchase APR Index,Variable Rate Index,Index,Purchase APR Vary by Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Introductory APR Offered?,Introductory APR Vary By Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Median Length of Introductory APR,Balance Transfer Offered?,Balance Transfer APR Vary by Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Median Length of Balance Transfer APR,Balance Transfer Grace Period,Cash Advance APR Offered?,Cash Advance APR Vary by Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Grace Period Offered?,Grace Period,Minimum Finance Charge?,Minimum Finance Charge (Dollars),Balance Computation Method,Balance Computation Method Details,Periodic Fee Type,Annual Fee,Monthly Fee,Weekly Fee,Other Periodic Fee Name,Other Periodic Fee Amount,Other Periodic Fee Frequency,Fee Varies?,Minimum,Maximum,Fee Explanation,Purchase Transaction Fees,Purchase Transaction Fee Type,Purchase Transaction Fee ($),Purchase Transaction Fee (%),Minimum Purchase Transaction Fee Amount,Purchase Transaction Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Balance Transfer Fees?,Balance Transfer Fee Types,Balance Transfer Fee ($),Balance Transfer Fee (%),Minimum Balance Transfer Fee Amount,Balance Transfer Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Cash Advance Fees?,Cash Advance Fee For Each Transaction,Cash Advance Fee Types,Amount (Dollars) - Transaction Fee,Amount (Percent) - Transaction Fee,Minimum Cash Advance Fee Amount,Cash Advance Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Foreign Transaction Fees?,Foreign Transaction Fees Types,Foreign Transaction Fee ($),Foreign Transaction Fee (%),Minimum Foreign Transaction Fee Amount,Foreign Transaction Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Late Fees?,Late Fee Types,Amount (Dollars) - Late Payment Fee,Late Fee Six Month Billing Cycle,Late Fee Policy Details,Fee Varies?,Minimum,Maximum,Fee Explanation,Over Limit Fees?,Over Limit Fee Types,Amount (Dollars) - Over Credit Limit,Overlimit Fee Detail,Fee Varies?,Minimum,Maximum,Fee Explanation,Other Fees,Additional Fees,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Fee Varies?,Minimum,Maximum,Fee Explanation,Services,Other Services,Rewards,Other Rewards,Card Features,Other Card Features,Contact Information Types,Website for Consumer,Telephone Number for Consumers,Created Date
COMMUNITY CHOICE CREDIT UNION,Priority Plus,Data as of December 31,National,,,,No,Geographic Restrictions Beyond Place of Residence,Must qualify in field of membership,,,No,Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,No,20.99%,19.74%,18.74%,18.74%,,20.99%,Yes,No,,,,1.99%,1.99%,1.99%,12,Yes,No,,,,1.99%,1.99%,1.99%,12,No,Yes,No,,,,18.74%,19.74%,20.99%,No,,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,2.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$5.00 ,2.00%,,,,,,,No,,,,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$29.00 ,$29.00 ,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Automobile rental insurance,,Cashback rewards; Travel-related rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Website,https://www.comchoicecu.org,,4/7/2023
FIRST INTERSTATE BANK,FirstRewards World Mastercard,Data as of December 31,National,,,,No,,,,,No,Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,No,22.25%,22.25%,10.25%,10.25%,,22.25%,Yes,No,,,,3.99%,3.99%,3.99%,6,Yes,Yes,23.50%,23.50%,15.50%,11.50%,,23.50%,0,Yes,Yes,No,,,,27.25%,27.25%,27.25%,Yes,25,Yes,$1.50 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,3.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,4.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$10.00 ,$10.00 ,,,,,,No,,,,,,,,Yes,No,Penalty Fee - Returned Payment,$30.00 ,Returned payment,,,,,,,,,,,,,,,,,,,Cashback rewards; Travel-related rewards,,Contactless Payments; Chip card; Mobile wallet provisioning; Other,"Cellular Wireless Telephone Protection 
Mastercard Experiences and Offers 
Luxury Hotels and Resorts Portfolio 
Shop Runner
Onefinestay
Postmates",Phone; Website,https://www.ezcardinfo.com,1-888-833-5434,4/7/2023
GEORGIA UNITED CREDIT UNION,Visa Platinum,Data as of December 31,National,,,,No,Other. Please Describe:,,,Credit Union Member affiliation,No,Good credit (credit scores from 620 to 719),Yes,No,,,,,,,,,,,,No,,F,No,22.99%,15.24%,11.74%,11.74%,,22.99%,Yes,No,,,,1.99%,1.99%,1.99%,12,Yes,Yes,1.99%,1.99%,1.99%,1.99%,,22.99%,12,Yes,Yes,Yes,24.99%,17.24%,12.99%,12.99%,,24.99%,Yes,21,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$2.00 ,2.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?,$25.00 ,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,Travel Accidental death and dismemberment and travel and emergency assistance.,Cashback rewards,,Chip card; Mobile wallet provisioning,,Phone,,888-493-4328,4/7/2023
"GOLDEN 1 CREDIT UNION, THE",Member Cash Rewards+,Data as of December 31,One State/Territory,CA,,No,No,,,,,No,Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,22.54%,20.29%,17.54%,16.54%,,22.54%,No,,,,,,,,,Yes,No,,,,16.54%,19.21%,22.54%,0,No,Yes,No,,,,16.54%,19.21%,22.54%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$5.00 ,2.50%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,up to 15 but not more than the minimum payment due,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Other,"Special offers on Travel, Entertainment, Food, Golf, Transportation",Cashback rewards,,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.golden1.com/credit-cards-loans/credit-cards,,4/7/2023
MICHIGAN SCHOOLS AND GOVERNMENT CREDIT UNION,VISA TITANIUM,Data as of December 31,One State/Territory,MI,,No,No,Other. Please Describe:,,,"Membership is eligible to persons who reside, are employed, worship or attend an educational institution in any county within the State of Michigan.",No,Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,No,,F,,,,,9.75%,9.75%,9.75%,No,,,,,,,,,Yes,No,,,,9.75%,9.75%,9.75%,0,No,Yes,No,,,,9.75%,9.75%,9.75%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,"25.00 or the amount of the required minimum payment, whichever is less.",,,,,No,,,,,,,,Yes,Yes,Return Payment Fee,$25.00 ,This fee is charged when a payment is returned.,Card Replacement Fee,$5.00 ,This fee is charged to replace a card.,Document Copy Fee,$6.00 ,This fee is charged to provide a document copy.,Rush Fee,$15.00 ,This fee is charged to rush payments.,Statement Copy Fee,$2.00 ,This fee is charged for statement copies.,,,,,,,,,Chip card; Mobile wallet provisioning; Other,Purchase protection/security,Phone,,1-866-674-2848,4/7/2023
NEWTOWN SAVINGS BANK,Mastercard Consumer Platinum Rewards,Data as of December 31,One State/Territory,CT,,No,No,,,,,No,Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,23.24%,22.74%,19.24%,17.24%,,23.24%,No,,,,,,,,,Yes,Yes,23.24%,22.74%,19.24%,17.24%,,23.24%,999,Yes,Yes,No,,,,21.00%,21.00%,21.00%,Yes,25,Yes,$1.00 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$10.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,4.00%,$10.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.50%,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$25.00 ,$35.00 ,,,,,,No,,,,,,,,Yes,Yes,Returned payment,$25.00 ,"If form of payment is not paid for any reason by customer's depository institution or financial service provider, we charge a returned payment fee.",Rush Card Fee,$30.00 ,To expedite delivery of a card,Card Replacement Fee,$30.00 ,to issue a replacement card for a lost or stolen card,Copy Fee,$6.00 ,"We may charge a Copy Fee for each copy of a transaction document or statement requested, unless they are required to resolve a billing dispute",,,,,,,,,,Cashback rewards,,Contactless Payments; Chip card,,Phone,,800-461-0672,5/1/2023
ARIZONA FINANCIAL CREDIT UNION,Visa Platinum Rewards,Data as of December 31,National,,,,No,Geographic Restrictions Beyond Place of Residence,Live work or Worship in Arizona,,,No,Good credit (credit scores from 620 to 719),No,,,,,,,,,,,,,,,F,,,,,,,,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,12.49%,15.24%,17.99%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?,$25.00 ,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,Other rewards,Points,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone,,800-523-4603,5/11/2023
"WILMINGTON SAVINGS FUND SOCIETY, FSB",Visa Unicorn Credit Card,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,17.76%,17.76%,17.76%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,24.99%,24.99%,24.99%,Yes,30,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,Yes,1. What is the amount of the first late fee on the account?,$25.00 ,,,,,,,No,,,,,,,,Yes,No,Return Payment Fee,$25.00 ,The fee is posted on the last day of the statement billing cycle.  The fee is charged to compensate for any additional risk on the account.,,,,,,,,,,,,,,,,,,,,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning; Other,Virtual card with a different account number that can be used for online purchases.,Phone; Website,https://cred.ai,877-400-2169,5/12/2023
AVIDIA BANK,Platinum,Data as of December 31,One State/Territory,MA,,No,Yes,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,Yes,17.90%,15.15%,14.15%,14.15%,,17.90%,Yes,Yes,17.90%,15.15%,3.90%,3.90%,,17.90%,6,Yes,No,,,,14.15%,15.15%,17.90%,6,Yes,Yes,Yes,17.90%,15.15%,14.15%,14.15%,,17.90%,Yes,30,No,,Average daily balance including new purchases,,Annual,$25.00 ,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?; 4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,4.00%,$5.00 ,"$5 or 4% of each cash advance, whichever is greater",,,,,No,,,,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,"$10 or 10% of the outstanding balance, whichever is less",,,,,No,,,,,,,,Yes,No,Returned Payment Fee,$25.00 ,The fee is charged when a payment that is made to the account is returned.,,,,,,,,,,,,,,,,,Access to Free Credit Scores,,Cashback rewards; Travel-related rewards; Other rewards,"May redeem for merchandise, gift cards, make charitable donations.",Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Website,https://www.avidiabank.com,,5/18/2023
CITY NATIONAL BANK,Cash Back Visa Signature Credit Card and City National Cash Back Card,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,22.00%,22.00%,18.00%,19.25%,,23.25%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,25.75%,24.00%,25.75%,Yes,25,Yes,$0.70 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Either $5 or 3% of the amount of each cash advance, whichever is greater.",,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$15.00 ,$15.00 ,,,,,,No,,,,,,,,Yes,Yes,Returned Payment,$20.00 ,*provided under separate cover due to size limitations,Research Charges,$35.00 ,"Per hour fee (with a one hour minimum), for the time spent researching something requested relating to a non-billing error inquiry on the Account.",Photocopy Charges,$2.00 ,"$2.00 for each billing statement requested and $12 for each sales, Cash Advance draft, or other record of Account requested (in each case, not charged if request relates to billing error inquiry)",Immediate Payment Posting Fee,$15.00 ,a special handling fee assessed for immediate credit availability up to the amount of each expedited payment processed.,Replacement Card Fee,$25.00 ,fee for each new Card issued to replace a Card for any reason after a Card has been replaced once on your Account.,,,,,Automobile rental insurance; Credit card registration; Debt cancellation coverage; Extension on manufacturer’s warranty; Other,*provided under separate cover due to size limitations,Cashback rewards,,Contactless Payments; Chip card; Mobile wallet provisioning; Other,"Card Alerts, Preferred Seating at Beacon Theater NYC, Family Card Functionality, Visa Zero Liability",Phone; Website,https://www.CNB.com/personal-banking/lending/credit-cards.html,800-998-6207,5/18/2023
CITY NATIONAL BANK,City National Crystal Visa Infinite Credit Card,Data as of December 31,National,,,,Yes,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,24.00%,24.00%,20.00%,21.25%,,21.25%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,27.25%,26.00%,27.25%,Yes,25,Yes,$0.70 ,Average daily balance including new purchases,,Annual; Other,$400.00 ,,,Additional Card Fee,$95.00 ,Annually,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Either $5 or 3% of the amount of each cash advance, whichever is greater.",,,,,No,,,,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$15.00 ,$15.00 ,,,,,,No,,,,,,,,Yes,Yes,Returned Payment,$20.00 ,*provided under separate cover due to space limitations,Research Charges,$35.00 ,"Per hour fee (with a one hour minimum), for the time spent researching something requested relating to a non-billing error inquiry on the Account.",Photocopy Charges,$2.00 ,provided under separate cover due to space limitations,,,,,,,,,,,Automobile rental insurance; Credit card registration; Debt cancellation coverage; Extension on manufacturer’s warranty; Other,*provided under separate cover due to space limitations,Travel-related rewards; Other rewards,Points redeemable for Merchandise and Statement credit,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning; Other,*provided under separate cover due to space limitations,Phone; Website,https://www.CNB.com/personal-banking/lending/credit-cards.html,800-998-6205,5/18/2023
CITY NATIONAL BANK,Visa Platinum Credit Card (with CN Rewards) and CN Now Card,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,26.00%,26.00%,22.00%,23.25%,,27.25%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,29.25%,28.00%,29.25%,Yes,25,Yes,$0.70 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Either $5 or 3% of the amount of each cash advance, whichever is greater.",,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$15.00 ,$15.00 ,,,,,,No,,,,,,,,Yes,Yes,Returned Payment,$20.00 ,*provided under separate cover due to space limitations,Research Charges,$35.00 ,*provided under separate cover due to space limitations,Photocopy Charges,$2.00 ,*provided under separate cover due to space limitations,Immediate Payment Posting,$15.00 ,*provided under separate cover due to space limitations,Replacement Card,$25.00 ,*provided under separate cover due to space limitations,,,,,Automobile rental insurance; Credit card registration; Debt cancellation coverage; Extension on manufacturer’s warranty; Other,*provided under separate cover due to space limitations,Travel-related rewards; Other rewards,*provided under separate cover due to space limitations,Contactless Payments; Chip card; Mobile wallet provisioning; Other,*provided under separate cover due to space limitations,Phone; Website,https://www.CNB.com/personal-banking/lending/credit-cards.html,800-998-6207,5/19/2023
CITY NATIONAL BANK,Visa Signature Credit Card (with CN Rewards) and CN Flex rewards Card,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,22.00%,22.00%,18.00%,19.25%,,23.25%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,25.75%,24.00%,25.75%,Yes,25,Yes,$0.70 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Either $5 or 3% of the amount of each cash advance, whichever is greater.",,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$15.00 ,$15.00 ,,,,,,No,,,,,,,,Yes,Yes,Returned Payment,$20.00 ,*provided under separate cover due to space restrictions,Research Charges,$35.00 ,*provided under separate cover due to space restrictions,Photocopy Charges,$2.00 ,*provided under separate cover due to space restrictions,Immediate Payment Posting,$15.00 ,*provided under separate cover due to space restrictions,Replacement Card,$25.00 ,*provided under separate cover due to space restrictions,,,,,Automobile rental insurance; Credit card registration; Debt cancellation coverage; Extension on manufacturer’s warranty; Other,*provided under separate cover due to space restrictions,Travel-related rewards; Other rewards,*provided under separate cover due to space restrictions,Contactless Payments; Chip card; Mobile wallet provisioning; Other,*provided under separate cover due to space restrictions,Phone; Website,https://www.CNB.com/personal-banking/lending/credit-cards.html,800-998-6207,5/19/2023
CITY NATIONAL BANK,Visa Platinum Secured Credit Card (with CN Rewards) and CN Now Secured Card,Data as of December 31,National,,,,No,,,,,Yes,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,26.00%,26.00%,22.00%,23.25%,,27.25%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,29.25%,28.00%,29.25%,Yes,25,Yes,$0.70 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Either $5 or 3% of the amount of each cash advance, whichever is greater.",,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$15.00 ,$15.00 ,,,,,,No,,,,,,,,Yes,Yes,Returned Payment,$20.00 ,*provided under separate cover due to space restrictions,Research Charges,$35.00 ,*provided under separate cover due to space restrictions,Photocopy Charges,$2.00 ,*provided under separate cover due to space restrictions,Immediate Payment Posting,$15.00 ,*provided under separate cover due to space restrictions,,,,,,,,Automobile rental insurance; Credit card registration; Debt cancellation coverage; Extension on manufacturer’s warranty; Other,*provided under separate cover due to space restrictions,Travel-related rewards; Other rewards,*provided under separate cover due to space restrictions,Contactless Payments; Chip card; Mobile wallet provisioning; Other,*provided under separate cover due to space restrictions,Phone; Website,https://www.CNB.com/personal-banking/lending/credit-cards.html,800-998-6207,5/19/2023
NAVY FEDERAL CREDIT UNION,cashRewards,Data as of December 31,National,,,,No,Other. Please Describe:,,,Navy Federal membership,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,18.00%,18.00%,14.49%,12.65%,,18.00%,No,,,,,,,,,Yes,Yes,18.00%,18.00%,14.49%,12.65%,,18.00%,999,Yes,Yes,Yes,18.00%,18.00%,16.49%,14.65%,,18.00%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,Yes,1. What is the amount of the first late fee on the account?,$20.00 ,,,,,,,No,,,,,,,,Yes,Yes,Returned Payment,$20.00 ,Returned Payment,ATM Cash Advance Fee - non NFCU International,$1.00 ,ATM Cash Advance Fee - non NFCU International,ATM Cash Advance Fee - non NFCU Domestic,$0.50 ,ATM Cash Advance Fee - non NFCU Domestic,Returned Convenience Check,$20.00 ,Returned Convenience Check,,,,,,,,Automobile rental insurance,,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://navyfederal.org,18008426328,5/2/2023
